psc,nazev,pocet volicu,vydane obalky,platne hlasy,strany
531367,Adamov,102,74,74,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
531111,Bernardov,157,89,89,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
533971,Bílé Podolí,502,299,299,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
530964,Bludov,28,23,23,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
533980,Bohdaneè,337,214,214,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
530832,Brambory,97,63,63,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
531286,Bratèice,332,224,224,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
533998,Církvice,1008,650,642,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
534005,Èáslav,8029,4866,4833,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
529524,Èejkovice,34,29,29,Obèanská demokratická strana,.Øád národa - Vlastenecká unie,.CESTA ODPOVÌDNÉ SPOLEÈNOSTI,.Èeská str.sociálnì demokrat.,.Radostné Èesko,.STAROSTOVÉ A NEZÁVISLÍ,.Komunistická str.Èech a Moravy,.Strana zelenıch,.ROZUMNÍ-stop migraci,diktát.EU,.Strana svobodnıch obèanù,.Blok proti islam.-Obran.domova,.Obèanská demokratická aliance,.Èeská pirátská strana,.Unie H.A.V.E.L.,.Referendum o Evropské unii,.TOP 09,.ANO 2011,.Dobrá volba 2016,.SPR-Republ.str.Èsl. M.Sládka,.Køes.demokr.unie-Ès.str.lid.,.Èeská strana národnì sociální,.REALISTÉ,.SPORTOVCI,.Dìlnic.str.sociální spravedl.,.Svob.a pø.dem.-T.Okamura (SPD),.Strana Práv Obèanù,.
